"player.name","shotAssists","assists","fromThrowIns","regularPlay","fromFreeKick","fromKeeper","fromCounter","fromCorner","fromKickOff","fromGoalKick","fromOther","passLength","groundPass","highPass","lowPass","rightFoot","head","leftFoot","other","noTouch","dropKick","startX","startY","endX","endY","startPosition","endPosition","group"
"Leah Williamson",20,5,6,8,1,0,1,4,0,0,0,26.627582555,8,7,5,18,0,0,2,0,0,85.34,55.375,100.515,39.775,41.1102504853203,23.2177851907317,"20"
"Lisa Evans",37,5,7,16,7,0,1,2,0,4,0,15.7425824594595,28,8,1,31,1,4,1,0,0,105.367567567568,54.4459459459459,104.82972972973,45.6567567567568,26.0198862375164,18.1412750488116,"40"
"Nikita Parris",27,5,6,17,1,0,0,1,0,2,0,19.1122138148148,21,5,1,21,0,6,0,0,0,99.4074074074074,49.962962962963,102.037037037037,40.5185185185185,27.8766733053899,20.9145796964826,"30"
"Bethany England",33,4,3,23,0,0,2,2,1,2,0,16.2333862636364,23,5,5,21,2,10,0,0,0,101.275757575758,36.6848484848485,103.751515151515,38.569696969697,28.2134886599608,19.8703507368415,"40"
"Claire Emslie",32,4,4,9,2,0,2,14,0,1,0,28.831377725,9,19,4,23,1,7,1,0,0,107.65625,51.75,109.1875,42.96875,33.5062650404914,13.6493621592609,"40"
"Drew Spence",26,4,8,11,0,0,3,3,0,1,0,17.3730060730769,16,5,5,19,3,3,1,0,0,91.9884615384615,37.0961538461538,99.0153846153846,35.7153846153846,31.6597414479485,24.5764538762688,"30"
"Georgia Stanway",38,4,3,13,3,0,3,14,2,0,0,25.6735441263158,17,16,5,35,1,1,1,0,0,95.4473684210526,42.9736842105263,104.960526315789,41.9921052631579,35.5781874428348,18.1937745260953,"40"
"Hannah Jayne Blundell",16,4,5,7,2,0,1,1,0,0,0,28.28514925,9,7,0,13,0,3,0,0,0,92.31875,57.35,102.89375,46.8875,38.3846063955538,20.9692261365074,"20"
"Jessica Sigsworth",12,4,2,7,2,0,0,1,0,0,0,18.665085425,4,4,4,10,0,1,1,0,0,106.333333333333,54.8666666666667,108.675,37.4,23.1658702653446,14.0315111324172,"20"
"Laura Coombs",26,4,5,8,5,0,0,7,0,1,0,32.1675498653846,7,15,4,24,0,2,0,0,0,88.8576923076923,41.4153846153846,103.511538461538,39.9076923076923,43.5516030104228,21.1062223170783,"30"
"Lucy Graham",19,4,6,7,1,1,0,1,0,3,0,24.0799548947368,9,5,5,15,0,4,0,0,0,92.0894736842105,32.5210526315789,100.089473684211,43.1315789473684,36.5279863522026,22.6033405059065,"20"
"Simone Magill",37,4,6,20,5,0,2,1,0,3,0,15.0170299945946,26,3,8,32,0,5,0,0,0,93.7108108108108,43.027027027027,97.6054054054054,42.2054054054054,32.5907871932612,27.0379214021528,"40"
"So-yun Ji",66,4,18,32,2,0,4,7,0,3,0,22.8024542924242,45,16,5,58,2,6,0,0,0,87.5984848484848,38.4212121212121,98.5924242424242,39.119696969697,38.3950125908352,25.6909108354604,"60"
"Alisha Lehmann",24,3,6,9,2,1,2,2,1,1,0,25.9158020416667,13,9,2,19,0,5,0,0,0,102.554166666667,54.4541666666667,108.370833333333,41.95,32.2297739484703,13.769968032137,"30"
"Brooke Chaplen",28,3,7,13,6,0,0,1,0,1,0,12.2830342642857,19,3,6,18,1,8,1,0,0,97.7857142857143,41.4964285714286,97.8607142857143,40.8464285714286,26.6182306441358,24.9616264350681,"30"
"Ellen White",18,3,6,6,0,0,3,0,3,0,0,15.3812396277778,14,2,2,11,0,7,0,0,0,94.8666666666667,41.8555555555556,98.8722222222222,40.0222222222222,31.3242903069128,23.7558650424545,"20"
"Francesca Kirby",31,3,8,19,0,0,2,1,0,1,0,14.7063055483871,26,1,4,25,0,5,1,0,0,97.8161290322581,39.2064516129032,100.438709677419,42.4129032258065,26.9385855408681,22.6172408802855,"40"
"Jane Ross",26,3,7,10,2,0,2,2,0,3,0,15.2601841846154,15,4,7,18,1,6,1,0,0,98.4692307692308,34.2384615384615,100.830769230769,38.6269230769231,29.7349866767423,23.834607790758,"30"
"Karen Julia Carney",47,3,9,6,7,0,3,22,0,0,0,30.6770462191489,12,28,7,44,0,3,0,0,0,108.617021276596,35,107.191489361702,38.9574468085106,36.2202546952564,14.9298213894971,"50"
"Kate Longhurst",17,3,3,9,2,0,0,0,1,2,0,23.5288425882353,10,5,2,12,1,3,1,0,0,88.8117647058824,49.2588235294118,100.076470588235,47.9823529411765,39.9184700624987,25.5935123032882,"20"
"Kayleigh Green",36,3,7,19,3,2,5,0,0,0,0,18.6733132916667,25,8,3,25,1,10,0,0,0,94.8972222222222,42.275,98.2,42.9222222222222,34.996277882161,26.0441698664833,"40"
"Kenza Dali",17,3,3,6,4,0,2,2,0,0,0,22.1313088705882,6,9,2,16,0,1,0,0,0,92.2941176470588,42.6117647058824,102.947058823529,43.7117647058824,37.5930323166162,20.4929848831852,"20"
"Leah Galton",14,3,5,6,1,1,0,0,1,0,0,15.4551643571429,11,3,0,0,0,14,0,0,0,105.635714285714,23.3357142857143,104.085714285714,33.55,26.7988916145688,20.2763599733545,"20"
"Lia Wälti",7,3,1,1,3,0,1,1,0,0,0,27.5666845714286,4,3,0,6,0,1,0,0,0,82.4428571428572,51.8,97.7285714285714,45.5714285714286,41.7986091619106,26.6314533323679,"10"
"Megan Connolly",12,3,1,4,1,0,0,6,0,0,0,24.8060423,3,8,1,10,1,0,1,0,0,100.2,37.2333333333333,106.083333333333,41.85,34.0573130890568,16.5677009064038,"20"
