"","id","player.name","xA","play_pattern.name","pass.length","pass.angle","pass.height.name","pass.body_part.name","start.X","start.Y","end.X","end.Y","startDist","endDist","pass.outcome"
"279124","5b3cad54-73e8-4aa8-9509-b4ba78729f40","Vivianne Miedema",0.46216723,"Regular Play",32.168617,1.6361238,"High Pass","Left Foot",117.5,10.8,115.4,42.9,29.3068251436419,5.437830449729,"Goal"
"279205","33621653-63cc-4856-a0fa-5ba49bf0379f","Vivianne Miedema",0.06822131,"From Corner",39.615276,-1.598567,"High Pass","Right Foot",111.1,74.2,110,34.6,35.3390718610435,11.3648581161403,"Goal"
"279247","c89088e2-8fda-4e9d-b1f7-d39556de7ffb","Olivia Chance",0.0775229,"From Counter",13.3544,0.88085186,"Ground Pass","Left Foot",89.9,34.8,98.4,45.1,30.5458671508929,22.193918085818,"No goal"
"279423","a9b2fe5a-4384-4e98-8a6c-1c14e6a7ef04","Leah Williamson",0.03638001,"From Throw In",16.701197,-1.5588208,"Ground Pass","Right Foot",100.2,66.7,100.4,50,33.2404873610481,22.0036360631601,"No goal"
"279445","79762f88-777a-48f6-9408-68df2cdaed95","Lia Wälti",0.09708281,"From Corner",39.96098,-0.650508,"High Pass","Right Foot",75.4,56.6,107.2,32.4,47.5890743763734,14.8862352527427,"Goal"
"279513","f22986c9-4dcb-46fb-9d04-10c464cc199d","Jordan Nobbs",0.052394126,"Regular Play",14.35897,-0.30413124,"Ground Pass","Right Foot",86,38.9,99.7,34.6,34.0177894637497,21.0059515376,"No goal"
"279561","c507cc67-00ac-4f00-92a4-7625636331ed","Bethany Mead",0.02178182,"From Corner",47.95425,-1.7808702,"High Pass","Right Foot",120,80,110,33.1,40,12.149485585818,"No goal"
"279753","108d5099-d80c-4a64-a8a8-569cb9e78462","Bethany Mead",0.060122743,"Regular Play",43.36012,1.0731062,"High Pass","Right Foot",92.3,10.8,113,48.9,40.2483540036111,11.3229854720387,"No goal"
"279760","afbb5357-71a6-4ff3-97d4-20cf09e3ebf3","Jennifer Beattie",0.23368268,"From Corner",9.070832,1.3258177,"High Pass","Other",112.1,33.5,114.3,42.3,10.2303470126873,6.14654374425173,"No goal"
"279849","250f17f0-d437-4cb2-8432-84dbf55e0844","Lisa Evans",0.116817385,"From Throw In",11.428036,-2.1442368,"Ground Pass","Right Foot",116.2,51.5,110,41.9,12.1115647213727,10.1788997440784,"No goal"
"279882","e1e22f4f-2fb7-42ac-acd1-8fc8c6cdcacc","Leah Williamson",0.015681569,"Regular Play",21.284971,-1.6601802,"Ground Pass","Right Foot",85.2,65,83.3,43.8,42.8490373287429,36.8962057669891,"No goal"
"280050","edb7eaaf-b64a-4649-885e-17d55d76966c","Bethany Mead",0.14400679,"From Goal Kick",17.802528,-1.5876486,"Ground Pass","Right Foot",113.9,56,113.6,38.2,17.1233758353895,6.64830805543787,"Goal"
"280144","2a6715a6-fe76-42fc-b0bf-1883e73f7e7a","Lisa Evans",0.026577644,"Regular Play",11.552056,-1.851474,"Ground Pass","Right Foot",105.7,65.6,102.5,54.5,29.3231990069296,22.726636354727,"No goal"
"280206","9cb9490b-16dc-4959-ac19-0cecd2015e07","Lisa Evans",0.29233447,"Regular Play",12.612692,-1.827313,"Ground Pass","Right Foot",114.5,54.5,111.3,42.3,15.5080624192708,8.99888882029332,"No goal"
"280297","f08f76b0-3ad3-4a97-8e0a-620b71d29c45","Jordan Nobbs",0.01627462,"From Throw In",8.372574,1.0590575,"Low Pass","Right Foot",88.8,2.3,92.9,9.6,48.9359785842687,40.7255448091244,"No goal"
"280331","7a2bcc29-e0af-4175-a28a-6b0ac5240a48","Bethany Mead",0.11485649,"From Corner",32.538593,-1.9684243,"Low Pass","Right Foot",120,80,107.4,50,40,16.0860187740783,"No goal"
"280858","8ed67a6f-6acb-4012-bcf0-5e0255e36f3b","Danielle van de Donk",0.10288947,"Regular Play",14.230249,-0.32175055,"Ground Pass","Right Foot",92.1,32.8,105.6,28.3,28.8140590684478,18.5539753152795,"Goal"
"280972","8263fe68-715f-4c68-935c-e9fa204b0776","Vivianne Miedema",0.34699857,"Regular Play",29.470324,1.184619,"Low Pass","Left Foot",98.5,20.8,109.6,48.1,28.8251626187954,13.1821849478757,"Goal"
"281061","5353973a-40b7-4722-8fa6-1666994089bb","Lisa Evans",0.4459919,"From Free Kick",25.997885,-1.1967185,"Ground Pass","Right Foot",100.1,61.4,109.6,37.2,29.2227650984639,10.770329614269,"Goal"
"281252","8a311a48-fea4-4418-b34b-28f6e2d5fc3c","Vivianne Miedema",0.33160794,"Regular Play",28.758652,0.8444427,"High Pass","Right Foot",91.4,24.6,110.5,46.1,32.4826107325135,11.2898184219234,"Goal"
"281347","843eba6a-a9d6-4579-bb7f-3efee5a93171","Ebony Salmon",0.041932937,"Regular Play",13.366376,1.835736,"Ground Pass","Right Foot",83.2,7.4,79.7,20.3,49.1629942131274,44.857329389967,"No goal"
